Waiter_ID,Full_Name,Work_Experience
1,Ray MacGaughy,99.89
2,Inigo Tippell,60.66
3,Roger Pele,15.77
4,Maybelle Fern,92.07
5,Randa Gilbody,36.54
6,Moria Ivasechko,66.15
7,Holli Schwandermann,43.44
8,Tobie Regorz,96.25
9,Robbert Giddens,0.51
10,Stacia Chattington,12.16
11,Salim Purdey,83.78
12,Brody Curror,48.94
13,Ramonda Disney,63.19
14,Dulcinea Stidson,6.86
15,Mahala Roughan,36.47
16,Emilio Isbell,29.4
17,Jasmine Fenby,79.99
18,Alejandrina Shalliker,87.19
19,Donna Shimon,39.49
20,Thomasin Perrington,27.45
21,Normand Raft,4.49
22,Letitia Fairchild,96.43
23,Cathrine Leathes,28.97
24,Jamie Tarpey,81.52
25,Natalie Dumbreck,54.28
26,Stefanie Papes,7.49
27,Elmira Samwayes,14.85
28,Kelsey Sedgefield,58.49
29,Garrett Vears,89.44
30,Barbabra Barrett,21.7
31,Israel Weiss,50.1
32,Malvina Clearie,18.34
33,Dugald Scrinage,47.59
34,Rozele Brogiotti,87.42
35,Marylee Goodwill,7.49
36,Rollo Udie,84.53
37,Berky MacTeague,77.01
38,Gabie Kroger,87.28
39,Flem Dank,91.68
40,Cherida Helian,97.45
41,Saree Jansson,64.31
42,Germaine Ramalho,50.98
43,Tandy Yushkov,53.87
44,Angelo Venneur,46.82
45,Liv Bulfoy,15.42
46,Pierette McVicker,64.76
47,Eberto Colam,39.23
48,Jenifer Serjeantson,62.29
49,Edik Syder,8.06
50,Constantin MacKeever,13.83
51,Northrop Dunnet,37.06
52,Anita Mangan,0.6
53,Alvan Wyss,73.49
54,Carter Tavner,7.83
55,Myrtia Saltsberger,37.9
56,Corbie Reader,20.98
57,Gabe Benley,8.97
58,Philly Howard - Gater,26.93
59,Dennet Cadreman,79.66
60,Georgia Sommerlin,69.58
61,Lin Rippon,27.11
62,Renaldo Lishmund,85.77
63,Rahal Paulo,56.4
64,Sigismondo Wolfendell,32.49
65,Enid Whiterod,63.06
66,Sutton Dammarell,8.04
67,Dilan Davenhall,3.66
68,Charmain Sharrock,18.32
69,Zsazsa Norledge,47.49
70,Derril Onians,38.28
71,Phaedra Melsome,78.5
72,Nissie Eaglestone,45.97
73,Amy Arens,9.24
74,Shamus Brearty,99.96
75,Laurent Brandham,5.77
76,Elia Svanetti,82.8
77,Francyne Bruntje,56.01
78,Jeralee Hillatt,38.06
79,Alethea Flattman,67.19
80,Deanna Aharoni,84.81
81,Catarina Fayers,4.61
82,Maynord Fend,37.28
83,Hanson Mallord,48.48
84,Henrieta Vick,63.56
85,Druci De Bellis,75.98
86,Skipton Stothart,16.76
87,Trever Pirrey,78.8
88,Marcile Hearfield,11.45
89,Clare Dilke,89.28
90,Patricio Applebee,53.29
91,Kala Jevon,61.29
92,Mureil Hackin,10.3
93,Belvia Croft,60.76
94,Pansy Willishire,17.61
95,Clay Yurov,53.05
96,Yovonnda Chiommienti,26.46
97,Reiko Darnbrough,60.64
98,Brodie Chill,89.4
99,Bob Waddam,26.3
100,Dar Arnot,74.06
101,Tarrah Thewys,60.94
102,Ted Rimer,14.76
